"State ","Neonatal mortality","Postneonatal mortality","Infant mortality","Child mortality","Under-five mortality"
"India ","39.0  ","18.0  ","57.0  ","18.4  ","74.3  "
"Delhi  ","29.3  ","10.5  ","39.8  ","7.3  ","46.7  "
"Haryana  ","23.6  ","18.1  ","41.7  ","11.1  ","52.3  "
"Himachal Pradesh  ","27.3  ","8.9  ","36.1  ","5.6  ","41.5  "
"Jammu &amp; Kashmir  ","29.8  ","14.9  ","44.7  ","6.8  ","51.2  "
"Punjab  ","28.0  ","13.7  ","41.7  ","10.8  ","52.0  "
"Rajasthan  ","43.9  ","21.4  ","65.3  ","21.5  ","85.4  "
"Uttaranchal  ","27.6  ","14.3  ","41.9  ","15.5  ","56.8  "
"Chhattisgarh  ","51.1  ","19.7  ","70.8  ","21.0  ","90.3  "
"Madhya Pradesh  ","44.9  ","24.7  ","69.5  ","26.5  ","94.2  "
"Uttar Pradesh  ","47.6  ","25.0  ","72.7  ","25.6  ","96.4  "
"Bihar  ","39.8  ","21.9  ","61.7  ","24.7  ","84.8  "
"Jharkhand  ","48.6  ","20.2  ","68.7  ","26.1  ","93.0  "
"Orissa  ","45.4  ","19.3  ","64.7  ","27.6  ","90.6  "
"West Bengal  ","37.6  ","10.4  ","48.0  ","12.2  ","59.6  "
"Arunachal Pradesh  ","34.0  ","26.7  ","60.7  ","28.8  ","87.7  "
"Assam  ","45.5  ","20.6  ","66.1  ","20.2  ","85.0  "
"Manipur  ","18.7  ","11.1  ","29.7  ","12.6  ","41.9  "
"Meghalaya  ","23.6  ","21.0  ","44.6  ","27.1  ","70.5  "
"Mizoram  ","16.3  ","17.7  ","34.1  ","19.5  ","52.9  "
"Nagaland  ","19.8  ","18.5  ","38.3  ","27.5  ","64.7  "
"Sikkim  ","19.4  ","14.3  ","33.7  ","6.7  ","40.1  "
"Tripura  ","33.1  ","18.3  ","51.5  ","8.2  ","59.2  "
"Goa  ","8.8  ","6.5  ","15.3  ","5.0  ","20.3  "
"Gujarat  ","33.5  ","16.2  ","49.7  ","11.9  ","60.9  "
"Maharashtra  ","31.8  ","5.7  ","37.5  ","9.5  ","46.7  "
"Andhra Pradesh  ","40.3  ","13.2  ","53.5  ","10.2  ","63.2  "
"Karnataka  ","28.9  ","14.3  ","43.2  ","12.1  ","54.7  "
"Kerala  ","11.5  ","3.8  ","15.3  ","1.0  ","16.3  "
"Tamil Nadu ","19.1 ","11.2 ","30.4 ","5.3 ","35.5 "