"MPCE","ProteinIntakeGmsPerDayPerCapitaRural","ProteinIntakeGmsPerDayPerCapitaUrban","ProteinIntakeGmsPerDayPerConsUnitRural","ProteinIntakeGmsPerDayPerConsUnitUrban"
"1 ","43.3 ","43.9 ","53.6 ","54.6 "
"2 ","48.3 ","48.9 ","60.0 ","60.2 "
"3 ","52.0 ","51.5 ","64.3 ","63.5 "
"4 ","54.7 ","54.6 ","67.3 ","67.0 "
"5 ","56.8 ","56.3 ","70.1 ","69.2 "
"6 ","59.0 ","59.4 ","72.6 ","72.5 "
"7 ","62.3 ","61.1 ","76.4 ","74.8 "
"8 ","64.9 ","64.1 ","79.8 ","78.1 "
"9 ","69.5","69.3","85.5","84.5"
"10","81.9",78.5","100.7","95.7"