"MPCE","PercExpenditureOnFood","PercExpenditureOnCereals","PerCapitaPerDayIntakeKCal","PerCapitaPerDayIntakeProtein","PerCapitaPerDayIntakeFat","PerConsUnitPerDayIntakeKCal","PerConsUnitPerDayIntakeProtein","PerConsUnitPerDayIntakeFat","NumHHS"
"01 ","66.5 ","27.8 ","1545 ","40.7 ","19.5 ","1920 ","50.6 ","24.2 ","3153 "
"02 ","65.0 ","24.5 ","1711 ","45.6 ","24.9 ","2122 ","56.6 ","30.9 ","3439 "
"03 ","63.7 ","22.7 ","1821 ","48.7 ","28.4 ","2252 ","60.2 ","35.2 ","3974 "
"04 ","62.2 ","20.8 ","1880 ","50.7 ","31.8 ","2318 ","62.5 ","39.2 ","4310 "
"05 ","61.6 ","19.6 ","1981 ","53.5 ","35.3 ","2438 ","65.8 ","43.5 ","5033 "
"06 ","59.7 ","18.0 ","2023 ","54.9 ","38.1 ","2488 ","67.5 ","46.8 ","5239 "
"07 ","58.1 ","17.1 ","2111 ","57.4 ","41.7 ","2589 ","70.4 ","51.1 ","6396 "
"08 ","55.6 ","15.1 ","2184 ","60.3 ","45.9 ","2684 ","74.1 ","56.4 ","7121 "
"09 ","52.1 ","13.3 ","2326 ","64.4 ","51.7 ","2859 ","79.2 ","63.6 ","8665 "
"10 ","38.1 ","7.7 ","2617 ","73.8 ","65.5 ","3208 ","90.5 ","80.4 ","11789 "
"all ","53.6 ","15.6 ","2020 ","55.0 ","38.3 ","2489 ","67.8 ","47.2 ","59119 "