"State","PercExpenditureOnFood","PercExpenditureOnCereals","PerCapitaPerDayIntakeKCal","PerCapitaPerDayIntakeProtein","PerCapitaPerDayIntakeFat","PerConsUnitPerDayIntakeKCal","PerConsUnitPerDayIntakeProtein","PerConsUnitPerDayIntakeFat","NumHHS"
"Andhra Pradesh ","44.8 ","9.6 ","2223 ","58.8 ","50.7 ","2721 ","71.9 ","62.1 ","2951 "
"Assam ","52.9 ","12.8 ","2176 ","58.8 ","36.9 ","2640 ","71.4 ","44.7 ","832 "
"Bihar ","52.9 ","14.8 ","2213 ","62.4 ","40.8 ","2687 ","75.7 ","49.5 ","1270 "
"Chhattisgarh ","43.7 ","10.4 ","2096 ","54.6 ","43.6 ","2583 ","67.3 ","53.7 ","736 "
"Gujarat ","46.2 ","7.6 ","2096 ","56.4 ","68.5 ","2582 ","69.4 ","84.4 ","1698 "
"Haryana ","43.1 ","5.8 ","2202 ","64.5 ","63.8 ","2674 ","78.3 ","77.4 ","1180 "
"Jharkhand ","51.5 ","11.9 ","2226 ","61.7 ","44.5 ","2705 ","75.0 ","54.1 ","990 "
"Karnataka ","42.3 ","9.0 ","2115","56.3","51.8","2600","69.2","63.7 ","2037"
"Kerala ","40.2 ","6.3 ","2118 ","59.9 ","50.6 ","2666 ","75.4 ","63.7 ","1845 "
"Madhya Pradesh ","41.7 ","7.6 ","2045 ","59.0 ","52.2 ","2500 ","72.1 ","63.8 ","1973 "
"Maharashtra ","41.0 ","6.6 ","2099","58.8","60.9","2572","72.0","74.7 ","3984"
"Orissa ","48.4 ","11.8 ","2259 ","58.0 ","34.5 ","2759 ","70.8 ","42.2 ","1055 "
"Punjab ","44.3 ","6.2 ","2260 ","64.4 ","68.9 ","2759 ","78.6 ","84.1 ","1557 "
"Rajasthan ","48.0 ","8.4 ","2144 ","63.7 ","58.3 ","2651 ","78.8 ","72.0 ","1551 "
"Tamil Nadu ","45.0 ","7.7 ","2135 ","55.5 ","49.4 ","2649 ","68.9 ","61.3 ","3320 "
"Uttar Pradesh ","46.3 ","9.3 ","2072 ","60.1 ","45.7 ","2526 ","73.3 ","55.7 ","3086 "
"West Bengal ","46.2 ","9.1 ","2027 ","55.5 ","43.0 ","2493 ","68.2 ","52.8 ","2749 "
"ALL ","44.4 ","8.1 ","2123 ","58.8 ","53.0 ","2604 ","72.1 ","65.0 ","41697 "